id	SRR925687	SRR925688	SRR925720	SRR925721	SRR934634	SRR925697	SRR925703	SRR925714	SRR925716	SRR925726	SRR934636
ENSG00000167920.7	13.99	25.49	15.59	15.86	9.1	11.82	10.12	20.16	7.59	20.15	12.83
ENSG00000198522.12	29.05	23.93	26.59	44.4	13.59	30.05	35.14	33.08	29.06	49.92	14.41
ENSG00000116455.12	81.38	54.31	75.36	54.96	58.5	78.67	27.62	126.62	44.73	123.82	58.29
ENSG00000075568.15	15.61	17.78	10.95	12.68	7.01	8.13	16.81	13.42	11.39	8.74	37.61
ENSG00000205542.9	1443.41	757.29	974.04	1944.85	835.82	3920.32	256.16	604	828.97	3029.17	1070.91
ENSG00000166794.4	506.64	232.98	382.65	476.94	380.25	963.1	503.54	280.53	296.06	511.04	284.42
ENSG00000197363.8	3.75	8.74	6.36	6.22	5.58	4.53	4.8	1.92	8.47	3.05	34.66
ENSG00000166575.15	9.4	5.6	6.81	6.62	5.31	3.45	7.09	8.47	5.55	2.88	8.3
ENSG00000100439.9	19.48	42.31	3.94	7.37	5.8	9.98	19.58	5.54	5.55	10.27	13.6
ENSG00000104687.11	44.49	20.28	32.79	36.21	18.3	53	56.56	27.12	19.19	22.68	35.51
ENSG00000066248.13	1.73	0	2.93	33.68	3.63	0.17	0.51	2.28	0.18	11.89	8.52
ENSG00000106484.13	13.91	0.17	31.7	33.9	79.82	26.94	0.86	430.97	4.05	14.16	0.17
ENSG00000111229.14	77.42	144.9	168.13	173.49	127.1	150.01	90.89	130.56	60.39	217.19	63.53
ENSG00000132024.16	29.59	24.49	26.35	21.56	34.05	20.76	34.15	20.19	34.79	20.08	59.32
ENSG00000165630.12	10.78	5.95	10.43	8.78	4.22	9.92	7.19	18.26	6.68	12.38	3.42
